"PWR_EXC_TP_CD","AREA_GRP_CD","AREA_GRP_ID","CRTN_TM","FCST_TM","LEAD_TM","FCST_PROD_CD","FCST_WSPD","FCST_WDIR","FCST_WSL2","FCST_WDL2","FCST_TEMP","FCST_HUMI","FCST_PSFC","REG_DATE","UPD_DATE"
"09","01","1968_005","202508010300","202508020000","02100","03",1.38,209.79,3.63,218.70,26.11,96.89,995.25,2025-08-01 02:51:09.000,2025-08-01 02:51:09.000
"09","01","1969_016","202508010300","202508020000","02100","03",1.27,214.43,3.52,227.34,25.67,97.98,987.95,2025-08-01 02:52:13.000,2025-08-01 02:52:13.000
"09","01","4593_001","202508010300","202508020000","02100","03",1.20,190.99,3.66,253.35,24.77,94.40,974.69,2025-08-01 02:53:17.000,2025-08-01 02:53:17.000
"09","01","4593_002","202508010300","202508020000","02100","03",1.24,195.68,3.78,252.28,24.51,93.93,974.75,2025-08-01 02:54:22.000,2025-08-01 02:54:22.000
"09","01","4593_003","202508010300","202508020000","02100","03",1.20,195.68,3.72,252.28,24.51,93.96,974.97,2025-08-01 02:55:27.000,2025-08-01 02:55:27.000
"09","01","4593_004","202508010300","202508020000","02100","03",1.21,195.68,3.64,252.28,24.53,93.90,975.39,2025-08-01 02:56:31.000,2025-08-01 02:56:31.000
"09","01","4593_005","202508010300","202508020000","02100","03",1.24,199.38,3.59,250.50,24.49,93.43,974.15,2025-08-01 02:57:36.000,2025-08-01 02:57:36.000
"09","01","4593_006","202508010300","202508020000","02100","03",1.13,199.38,3.64,250.50,24.42,93.17,974.69,2025-08-01 02:58:41.000,2025-08-01 02:58:41.000
"09","01","4593_007","202508010300","202508020000","02100","03",1.11,192.00,3.50,252.40,24.42,93.20,974.92,2025-08-01 02:59:45.000,2025-08-01 02:59:45.000
"09","01","4593_008","202508010300","202508020000","02100","03",1.14,199.38,3.44,250.50,24.36,93.21,974.48,2025-08-01 03:00:50.000,2025-08-01 03:00:50.000
"09","01","4593_009","202508010300","202508020000","02100","03",1.13,199.38,3.21,250.50,24.43,93.33,975.12,2025-08-01 03:01:54.000,2025-08-01 03:01:54.000
"09","01","4593_010","202508010300","202508020000","02100","03",1.21,199.38,3.54,250.50,24.49,93.58,974.34,2025-08-01 03:02:59.000,2025-08-01 03:02:59.000
"09","01","4593_011","202508010300","202508020000","02100","03",1.25,199.38,3.55,250.50,24.58,93.32,975.13,2025-08-01 03:04:04.000,2025-08-01 03:04:04.000
"09","01","4593_012","202508010300","202508020000","02100","03",1.19,195.68,3.62,252.28,24.56,93.95,975.97,2025-08-01 03:05:08.000,2025-08-01 03:05:08.000
"09","01","4593_013","202508010300","202508020000","02100","03",1.20,195.68,3.68,252.28,24.58,93.91,975.89,2025-08-01 03:06:13.000,2025-08-01 03:06:13.000
"09","01","4593_014","202508010300","202508020000","02100","03",1.23,195.68,3.65,252.28,24.53,93.93,975.43,2025-08-01 03:07:18.000,2025-08-01 03:07:18.000
"09","01","4593_015","202508010300","202508020000","02100","03",1.25,195.68,3.80,252.28,24.52,93.96,975.08,2025-08-01 03:08:22.000,2025-08-01 03:08:22.000
"09","01","8711_001","202508010300","202508020000","02100","03",1.83,233.33,2.50,231.51,23.14,96.74,967.42,2025-08-01 03:09:27.000,2025-08-01 03:09:27.000
"09","01","8711_002","202508010300","202508020000","02100","03",1.88,237.13,2.42,233.96,23.22,97.12,968.58,2025-08-01 03:10:32.000,2025-08-01 03:10:32.000
"09","01","8711_003","202508010300","202508020000","02100","03",1.94,237.13,2.64,233.96,23.14,97.32,968.70,2025-08-01 03:11:36.000,2025-08-01 03:11:36.000
"09","01","8711_004","202508010300","202508020000","02100","03",1.98,237.13,2.59,233.96,23.10,97.61,968.87,2025-08-01 03:12:41.000,2025-08-01 03:12:41.000
"09","01","8711_005","202508010300","202508020000","02100","03",1.90,237.13,2.68,233.96,23.08,96.90,967.62,2025-08-01 03:13:46.000,2025-08-01 03:13:46.000
"09","01","8711_006","202508010300","202508020000","02100","03",1.93,237.13,2.78,233.96,23.03,96.83,967.36,2025-08-01 03:14:51.000,2025-08-01 03:14:51.000
