"CRTN_TM","FCST_TM","LEAD_TM","FCST_MINPW","FCST_CURT","REG_DATE","UPD_DATE"
"202508010300","202508020000","02100",700.00,25.40,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508020100","02200",700.00,-14.46,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508020200","02300",650.00,-0.27,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508020300","02400",650.00,11.15,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508020400","02500",700.00,27.64,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508020500","02600",650.00,13.63,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508020600","02700",650.00,10.95,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508020700","02800",700.00,26.66,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508020800","02900",700.00,28.19,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508020900","03000",650.00,-10.53,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508021000","03100",500.00,-0.46,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508021100","03200",500.00,11.31,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508021200","03300",500.00,30.91,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508021300","03400",500.00,19.80,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508021400","03500",550.00,27.44,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508021500","03600",550.00,13.93,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508021600","03700",650.00,18.22,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508021700","03800",750.00,-4.78,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508021800","03900",850.00,-28.45,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508021900","04000",900.00,-7.37,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508022000","04100",950.00,31.87,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508022100","04200",850.00,6.36,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508022200","04300",800.00,34.92,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508022300","04400",750.00,5.70,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508030000","04500",750.00,2.09,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508030100","04600",600.00,2.59,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508030200","04700",600.00,24.46,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508030300","04800",650.00,-9.71,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508030400","04900",750.00,-6.20,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508030500","05000",800.00,1.04,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508030600","05100",800.00,-0.44,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508030700","05200",750.00,18.28,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508030800","05300",750.00,36.11,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508030900","05400",700.00,16.51,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508031000","05500",700.00,33.48,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508031100","05600",700.00,25.22,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508031200","05700",650.00,32.17,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508031300","05800",650.00,27.31,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508031400","05900",700.00,14.88,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508031500","06000",750.00,14.63,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508031600","06100",800.00,12.94,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508031700","06200",750.00,26.88,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508031800","06300",750.00,27.73,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508031900","06400",700.00,-10.83,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508032000","06500",700.00,15.05,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508032100","06600",650.00,17.75,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508032200","06700",600.00,-1.53,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508032300","06800",600.00,-5.72,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010300","202508040000","06900",550.00,-3.06,2025-08-01 02:50:06.000,2025-08-01 02:50:06.000
"202508010900","202508020000","01500",700.00,0.88,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508020100","01600",650.00,16.31,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508020200","01700",600.00,20.87,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508020300","01800",600.00,11.83,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508020400","01900",600.00,-6.60,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508020500","02000",650.00,1.96,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508020600","02100",650.00,16.37,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508020700","02200",650.00,3.72,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508020800","02300",650.00,0.51,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508020900","02400",600.00,11.20,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508021000","02500",500.00,-4.26,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508021100","02600",450.00,2.17,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508021200","02700",450.00,47.34,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508021300","02800",400.00,39.68,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508021400","02900",400.00,0.23,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508021500","03000",550.00,25.33,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508021600","03100",600.00,-4.10,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508021700","03200",750.00,30.47,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508021800","03300",800.00,-12.97,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508021900","03400",850.00,-8.10,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508022000","03500",900.00,17.81,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508022100","03600",850.00,22.25,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508022200","03700",800.00,20.25,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508022300","03800",750.00,-13.15,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508030000","03900",650.00,17.99,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508030100","04000",650.00,37.12,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508030200","04100",550.00,13.71,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508030300","04200",650.00,21.93,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508030400","04300",600.00,2.92,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508030500","04400",550.00,2.04,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508030600","04500",600.00,-9.34,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508030700","04600",600.00,39.04,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508030800","04700",700.00,13.27,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508030900","04800",650.00,2.76,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508031000","04900",700.00,17.90,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508031100","05000",650.00,26.04,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508031200","05100",550.00,0.21,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508031300","05200",550.00,6.09,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508031400","05300",500.00,-2.77,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508031500","05400",550.00,4.32,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508031600","05500",650.00,0.58,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508031700","05600",800.00,28.44,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508031800","05700",750.00,6.51,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508031900","05800",750.00,-15.94,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508032000","05900",800.00,19.99,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508032100","06000",750.00,25.31,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508032200","06100",600.00,-3.26,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508032300","06200",600.00,16.87,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508010900","202508040000","06300",500.00,-8.09,2025-08-01 08:50:05.000,2025-08-01 08:50:05.000
"202508011500","202508020000","00900",800.00,27.40,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508020100","01000",700.00,11.39,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508020200","01100",650.00,-7.21,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508020300","01200",550.00,-6.92,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508020400","01300",650.00,-5.43,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
"202508011500","202508020500","01400",650.00,2.96,2025-08-01 14:50:05.000,2025-08-01 14:50:05.000
