"TM","SUPP_ABILITY","CURR_PWR_TOT","RENEW_PWR_TOT","RENEW_PWR_SOLAR","RENEW_PWR_WIND","REG_DATE","UPD_DATE"
"202508010000",1431.00000,836.00000,5.11148,0.00000,3.20642,2025-08-01 00:06:08.000,2025-08-01 00:06:08.000
"202508010005",1434.00000,825.00000,5.24443,0.00000,3.33845,2025-08-01 00:12:07.000,2025-08-01 00:12:07.000
"202508010010",1435.00000,822.00000,5.19969,0.00000,3.29443,2025-08-01 00:16:06.000,2025-08-01 00:16:06.000
"202508010015",1435.00000,816.00000,6.30633,0.00000,4.39935,2025-08-01 00:16:06.000,2025-08-01 00:16:06.000
"202508010020",1435.00000,810.00000,6.12827,0.00000,4.26326,2025-08-01 00:26:11.000,2025-08-01 00:26:11.000
"202508010025",1434.00000,806.00000,5.07030,0.00000,3.20429,2025-08-01 00:42:07.000,2025-08-01 00:42:07.000
"202508010030",1435.00000,800.00000,6.26510,0.00000,4.39925,2025-08-01 00:42:07.000,2025-08-01 00:42:07.000
"202508010035",1435.00000,796.00000,6.05631,0.00000,4.18470,2025-08-01 00:42:07.000,2025-08-01 00:42:07.000
"202508010040",1435.00000,790.00000,6.36452,0.00000,4.61190,2025-08-01 00:42:07.000,2025-08-01 00:42:07.000
"202508010045",1435.00000,787.00000,6.26410,0.00000,4.46936,2025-08-01 00:58:08.000,2025-08-01 00:58:08.000
"202508010050",1436.00000,782.00000,6.51583,0.00000,4.76343,2025-08-01 00:58:08.000,2025-08-01 00:58:08.000
"202508010055",1434.00000,777.00000,5.08448,0.00000,3.28886,2025-08-01 00:58:08.000,2025-08-01 00:58:08.000
"202508010100",1434.00000,771.00000,4.74007,0.00000,2.94440,2025-08-01 01:08:08.000,2025-08-01 01:08:08.000
"202508010105",1434.00000,766.00000,5.31996,0.00000,3.56797,2025-08-01 01:08:08.000,2025-08-01 01:08:08.000
"202508010110",1436.00000,762.00000,6.86374,0.00000,5.06984,2025-08-01 01:16:07.000,2025-08-01 01:16:07.000
